0.04643368721008301
0.5 | GMM Tied | nComponents = 4 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.152 | MinDCF =0.131
0.5 | GMM Tied | nComponents = 4 | Raw | Calibrated | PCA = 8 | ActDCF =0.303 | MinDCF =0.137
0.9 | GMM Tied | nComponents = 4 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.195 | MinDCF =0.656
0.9 | GMM Tied | nComponents = 4 | Raw | Calibrated | PCA = 8 | ActDCF =3.158 | MinDCF =0.670
0.1 | GMM Tied | nComponents = 8 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.279 | MinDCF =0.242
0.1 | GMM Tied | nComponents = 8 | Raw | Calibrated | PCA = 8 | ActDCF =0.248 | MinDCF =0.246
0.5 | GMM Tied | nComponents = 8 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.153 | MinDCF =0.125
0.5 | GMM Tied | nComponents = 8 | Raw | Calibrated | PCA = 8 | ActDCF =0.305 | MinDCF =0.129
0.9 | GMM Tied | nComponents = 8 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.254 | MinDCF =0.568
0.9 | GMM Tied | nComponents = 8 | Raw | Calibrated | PCA = 8 | ActDCF =3.169 | MinDCF =0.606
0.1 | GMM Tied | nComponents = 16 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.284 | MinDCF =0.258
0.1 | GMM Tied | nComponents = 16 | Raw | Calibrated | PCA = 8 | ActDCF =0.294 | MinDCF =0.257
0.5 | GMM Tied | nComponents = 16 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.153 | MinDCF =0.129
0.5 | GMM Tied | nComponents = 16 | Raw | Calibrated | PCA = 8 | ActDCF =0.300 | MinDCF =0.129
0.9 | GMM Tied | nComponents = 16 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.244 | MinDCF =0.612
0.9 | GMM Tied | nComponents = 16 | Raw | Calibrated | PCA = 8 | ActDCF =3.828 | MinDCF =0.610
0.1 | GMM Tied | nComponents = 1 | Normalized | Uncalibrated | PCA = 8 | ActDCF =0.399 | MinDCF =0.286
0.1 | GMM Tied | nComponents = 1 | Normalized | Calibrated | PCA = 8 | ActDCF =0.304 | MinDCF =0.290
0.5 | GMM Tied | nComponents = 1 | Normalized | Uncalibrated | PCA = 8 | ActDCF =0.161 | MinDCF =0.141
0.5 | GMM Tied | nComponents = 1 | Normalized | Calibrated | PCA = 8 | ActDCF =0.314 | MinDCF =0.148
0.9 | GMM Tied | nComponents = 1 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.214 | MinDCF =0.672
0.9 | GMM Tied | nComponents = 1 | Normalized | Calibrated | PCA = 8 | ActDCF =3.290 | MinDCF =0.708
0.1 | GMM Tied | nComponents = 2 | Normalized | Uncalibrated | PCA = 8 | ActDCF =0.399 | MinDCF =0.286
0.1 | GMM Tied | nComponents = 2 | Normalized | Calibrated | PCA = 8 | ActDCF =0.304 | MinDCF =0.290
0.5 | GMM Tied | nComponents = 2 | Normalized | Uncalibrated | PCA = 8 | ActDCF =0.161 | MinDCF =0.141
0.5 | GMM Tied | nComponents = 2 | Normalized | Calibrated | PCA = 8 | ActDCF =0.314 | MinDCF =0.148
0.9 | GMM Tied | nComponents = 2 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.214 | MinDCF =0.672
0.9 | GMM Tied | nComponents = 2 | Normalized | Calibrated | PCA = 8 | ActDCF =3.301 | MinDCF =0.708
0.1 | GMM Tied | nComponents = 4 | Normalized | Uncalibrated | PCA = 8 | ActDCF =0.325 | MinDCF =0.261
0.1 | GMM Tied | nComponents = 4 | Normalized | Calibrated | PCA = 8 | ActDCF =0.268 | MinDCF =0.261
0.5 | GMM Tied | nComponents = 4 | Normalized | Uncalibrated | PCA = 8 | ActDCF =0.152 | MinDCF =0.131
0.5 | GMM Tied | nComponents = 4 | Normalized | Calibrated | PCA = 8 | ActDCF =0.303 | MinDCF =0.137
0.9 | GMM Tied | nComponents = 4 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.195 | MinDCF =0.656
0.9 | GMM Tied | nComponents = 4 | Normalized | Calibrated | PCA = 8 | ActDCF =3.158 | MinDCF =0.670
0.1 | GMM Tied | nComponents = 8 | Normalized | Uncalibrated | PCA = 8 | ActDCF =0.279 | MinDCF =0.242
0.1 | GMM Tied | nComponents = 8 | Normalized | Calibrated | PCA = 8 | ActDCF =0.248 | MinDCF =0.246
0.5 | GMM Tied | nComponents = 8 | Normalized | Uncalibrated | PCA = 8 | ActDCF =0.153 | MinDCF =0.125
0.5 | GMM Tied | nComponents = 8 | Normalized | Calibrated | PCA = 8 | ActDCF =0.305 | MinDCF =0.129
0.9 | GMM Tied | nComponents = 8 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.254 | MinDCF =0.568
0.9 | GMM Tied | nComponents = 8 | Normalized | Calibrated | PCA = 8 | ActDCF =3.169 | MinDCF =0.606
0.1 | GMM Tied | nComponents = 16 | Normalized | Uncalibrated | PCA = 8 | ActDCF =0.284 | MinDCF =0.258
0.1 | GMM Tied | nComponents = 16 | Normalized | Calibrated | PCA = 8 | ActDCF =0.294 | MinDCF =0.257
0.5 | GMM Tied | nComponents = 16 | Normalized | Uncalibrated | PCA = 8 | ActDCF =0.153 | MinDCF =0.129
0.5 | GMM Tied | nComponents = 16 | Normalized | Calibrated | PCA = 8 | ActDCF =0.300 | MinDCF =0.129
0.9 | GMM Tied | nComponents = 16 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.244 | MinDCF =0.612
0.9 | GMM Tied | nComponents = 16 | Normalized | Calibrated | PCA = 8 | ActDCF =3.828 | MinDCF =0.610
Total time 17849.589705467224
