0.1 | 0.9 | Bayes | Raw | PCA = 8 | ActDCF =5.827 | MinDCF =0.930
0.1 | 0.1 | Bayes | Raw | PCA = 9 | ActDCF =0.915 | MinDCF =0.870
0.1 | 0.5 | Bayes | Raw | PCA = 9 | ActDCF =0.680 | MinDCF =0.383
0.1 | 0.9 | Bayes | Raw | PCA = 9 | ActDCF =5.887 | MinDCF =0.883
0.1 | 0.1 | Bayes | Raw | PCA = 10 | ActDCF =0.964 | MinDCF =0.866
0.1 | 0.5 | Bayes | Raw | PCA = 10 | ActDCF =0.651 | MinDCF =0.387
0.1 | 0.9 | Bayes | Raw | PCA = 10 | ActDCF =5.545 | MinDCF =0.892
0.1 | 0.1 | Bayes | Raw | PCA = 11 | ActDCF =0.952 | MinDCF =0.872
0.1 | 0.5 | Bayes | Raw | PCA = 11 | ActDCF =0.645 | MinDCF =0.384
0.1 | 0.9 | Bayes | Raw | PCA = 11 | ActDCF =5.500 | MinDCF =0.921
0.1 | 0.1 | Bayes | Normalized | PCA = 5 | ActDCF =0.911 | MinDCF =0.877
0.1 | 0.5 | Bayes | Normalized | PCA = 5 | ActDCF =0.839 | MinDCF =0.450
0.1 | 0.9 | Bayes | Normalized | PCA = 5 | ActDCF =7.482 | MinDCF =0.925
0.1 | 0.1 | Bayes | Normalized | PCA = 6 | ActDCF =0.918 | MinDCF =0.910
0.1 | 0.5 | Bayes | Normalized | PCA = 6 | ActDCF =0.840 | MinDCF =0.423
0.1 | 0.9 | Bayes | Normalized | PCA = 6 | ActDCF =7.483 | MinDCF =0.873
0.1 | 0.1 | Bayes | Normalized | PCA = 7 | ActDCF =0.909 | MinDCF =0.896
0.1 | 0.5 | Bayes | Normalized | PCA = 7 | ActDCF =0.817 | MinDCF =0.432
0.1 | 0.9 | Bayes | Normalized | PCA = 7 | ActDCF =7.264 | MinDCF =0.816
0.1 | 0.1 | Bayes | Normalized | PCA = 8 | ActDCF =0.936 | MinDCF =0.905
0.1 | 0.5 | Bayes | Normalized | PCA = 8 | ActDCF =0.838 | MinDCF =0.420
0.1 | 0.9 | Bayes | Normalized | PCA = 8 | ActDCF =7.441 | MinDCF =0.794
0.1 | 0.1 | Bayes | Normalized | PCA = 9 | ActDCF =0.869 | MinDCF =0.863
0.1 | 0.5 | Bayes | Normalized | PCA = 9 | ActDCF =0.804 | MinDCF =0.421
0.1 | 0.9 | Bayes | Normalized | PCA = 9 | ActDCF =7.173 | MinDCF =0.806
0.1 | 0.1 | Bayes | Normalized | PCA = 10 | ActDCF =0.882 | MinDCF =0.816
0.1 | 0.5 | Bayes | Normalized | PCA = 10 | ActDCF =0.784 | MinDCF =0.411
