0.1 | 0.5 | Linear Regression | Lambda =1.83e+01 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.457
0.1 | 0.9 | Linear Regression | Lambda =1.83e+01 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.918
0.1 | 0.1 | Linear Regression | Lambda =4.28e+01 | Raw | PCA = 10 | ActDCF =1.000 | MinDCF =0.987
0.1 | 0.5 | Linear Regression | Lambda =4.28e+01 | Raw | PCA = 10 | ActDCF =1.000 | MinDCF =0.799
0.1 | 0.9 | Linear Regression | Lambda =4.28e+01 | Raw | PCA = 10 | ActDCF =9.000 | MinDCF =0.999
0.1 | 0.1 | Linear Regression | Lambda =4.28e+01 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.881
0.1 | 0.5 | Linear Regression | Lambda =4.28e+01 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.457
0.1 | 0.9 | Linear Regression | Lambda =4.28e+01 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.920
0.1 | 0.1 | Linear Regression | Lambda =1.00e+02 | Raw | PCA = 10 | ActDCF =1.000 | MinDCF =0.993
0.1 | 0.5 | Linear Regression | Lambda =1.00e+02 | Raw | PCA = 10 | ActDCF =1.000 | MinDCF =0.815
0.1 | 0.9 | Linear Regression | Lambda =1.00e+02 | Raw | PCA = 10 | ActDCF =9.000 | MinDCF =0.998
0.1 | 0.1 | Linear Regression | Lambda =1.00e+02 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.881
0.1 | 0.5 | Linear Regression | Lambda =1.00e+02 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.457
0.1 | 0.9 | Linear Regression | Lambda =1.00e+02 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.920
0.5 | 0.1 | Linear Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =1.860 | MinDCF =0.829
0.5 | 0.5 | Linear Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =0.359 | MinDCF =0.356
0.5 | 0.9 | Linear Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =1.729 | MinDCF =0.654
0.5 | 0.1 | Linear Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =1.988 | MinDCF =0.837
0.5 | 0.5 | Linear Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =0.376 | MinDCF =0.367
0.5 | 0.9 | Linear Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =1.772 | MinDCF =0.751
0.5 | 0.1 | Linear Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =1.883 | MinDCF =0.833
